id,id_customer,method,card_number
127,551,jcb,3546628456308041
128,404,solo,6334375733546717
129,779,jcb,3539222214078200
130,282,americanexpress,371321196846654
131,299,solo,6767880080977729818
132,903,americanexpress,374622729105220
133,66,jcb,3540374709313365
134,455,visa-electron,4913728163660032
135,856,jcb,3552027876312397
136,741,bankcard,5602254689844458
137,466,jcb,3561027783701970
138,862,americanexpress,342148520267059
139,991,jcb,3589987295858501
140,1,diners-club-carte-blanche,30069314259184
141,936,switch,4903416226789418
142,530,jcb,3556214150892072
143,676,diners-club-enroute,201665199252419
144,644,jcb,3552159655080901
145,346,jcb,3576824179954541
146,348,visa-electron,4026100675292940
147,714,jcb,3536623659780718
148,730,solo,633420958836270032
149,39,visa-electron,4508701898903598
150,319,jcb,3569229172012223
151,183,visa-electron,4913521383791392
152,757,china-unionpay,56022268546035295
153,48,jcb,3580262915100612
154,734,diners-club-enroute,201980795588821
155,949,jcb,3569239248304637
156,604,jcb,3576559594056437
157,13,mastercard,5190680189986746
158,347,maestro,589387479405274565
159,353,diners-club-carte-blanche,30466175071213
160,527,switch,6759802889449277
161,667,visa,4017958175001488
162,430,mastercard,5108756074624682
163,456,maestro,6759615376354192
164,386,switch,491125975303750396
165,414,jcb,3536707390981782
166,173,bankcard,5602241651522519
167,36,jcb,3569181744772349
168,686,laser,6771300803142222797
169,642,china-unionpay,560223765700974936
170,920,visa,4017957322100
171,869,diners-club-carte-blanche,30196885189613
172,849,jcb,3533722909393760
173,238,visa,4050412729262
174,488,switch,490389628198951297
175,633,jcb,3588337013625629
176,34,jcb,3581433070090638
177,151,mastercard,5100140317117218
178,326,jcb,3528752002929613
179,460,jcb,3554616423963757
180,433,visa-electron,4175000101895812
181,670,laser,67711168964920593
182,564,jcb,3529844831110868
183,229,switch,493610889298448932
184,31,americanexpress,372301254053491
185,432,jcb,3565596520393370
186,54,visa-electron,4405892488407910
187,306,jcb,3556554038289060
188,333,diners-club-enroute,201428811673284
189,477,jcb,3556960299052081
190,138,maestro,5893847550110038
191,605,switch,491110356682570589
192,257,jcb,3550780643916716
193,101,jcb,3561706694201481
194,171,visa-electron,4844856708565806
195,835,jcb,3553817104956158
196,5,jcb,3580124119639219
197,81,maestro,50384819932644515
198,314,mastercard,5425982237708263
199,306,jcb,3587786263584418
200,635,diners-club-enroute,201500036250997
201,980,laser,6709388210861051933
202,997,mastercard,5104935276941979
203,380,jcb,3581581766481055
204,8,diners-club-enroute,201988211460350
205,65,instapayment,6375735909445913
206,108,instapayment,6398318133324767
207,789,switch,6331106574514339
208,451,mastercard,5100178514009903
209,649,switch,6759660039145532150
210,683,jcb,3529714553383037
211,72,maestro,6759019387638929674
212,139,visa-electron,4508024557447744
213,60,americanexpress,375778119589610
214,177,jcb,3531799016661141
215,238,jcb,3568613224339257
216,523,china-unionpay,56022457952620829
217,86,mastercard,5007667602114405
218,851,jcb,3553237920762328
219,271,visa,4041591536867
220,732,jcb,3561239571036671
221,254,switch,6333091305525549111
222,233,visa-electron,4405712829432023
223,656,switch,4936134158694370
224,76,jcb,3554209328608667
225,75,instapayment,6376384505972175
226,664,jcb,3577731865800012
227,378,instapayment,6381898569056339
228,68,jcb,3561385050883644
229,147,jcb,3544867129896071
230,890,visa-electron,4026415547918294
231,553,americanexpress,374622713787611
232,554,americanexpress,374622630733284
233,119,jcb,3589105192967818
234,66,jcb,3543273016587132
235,351,maestro,6762888505131220
236,756,jcb,3557382386089562
237,804,laser,670677409912353534
238,592,jcb,3550432490559617
239,205,jcb,3531058762183101
240,842,jcb,3531764669347067
241,884,visa,4017954010062
242,931,jcb,3565651078523256
243,54,maestro,503806016047101733
244,916,jcb,3540324513321914
245,137,mastercard,5108756914694002
246,83,diners-club-carte-blanche,30222559757624
247,694,instapayment,6390011154743654
248,868,jcb,3587714144903102
249,738,mastercard,5454752338815976
250,195,jcb,3536496089808288
251,827,jcb,3556769485654505
252,508,mastercard,5279811205662037
253,713,jcb,3532281765109472
254,265,laser,677122176072016294
255,352,mastercard,5100178245867926
256,969,mastercard,5187924551343655
257,371,mastercard,5002351521661995
258,766,jcb,3572095685043343
259,91,maestro,5893767493777182
260,863,visa-electron,4026452741152628
261,35,jcb,3577882478847203
262,55,switch,6331106676541586189
263,137,diners-club-carte-blanche,30494687060821
264,493,visa,4041373561054713
265,674,diners-club-carte-blanche,30240401838624
266,139,jcb,3585112577031198
267,503,americanexpress,337941673213012
268,936,jcb,3539666559293958
269,678,visa,4041599990991
270,767,bankcard,5610936854631104
271,278,jcb,3558312568499064
272,381,jcb,3571006053567269
273,466,mastercard,5140280947926299
274,925,maestro,675936720746782664
275,702,bankcard,5602226649503234
276,775,bankcard,5610960596566543
277,147,americanexpress,374283489527408
278,612,bankcard,5602247034398832
279,146,jcb,3548695828225128
280,599,jcb,3589356996332101
281,125,jcb,3547777200649231
282,392,jcb,3556102897526113
283,264,bankcard,5602210707706129
284,724,jcb,3561660857842476
285,111,jcb,3563255967914436
286,309,mastercard,5007665165394919
287,634,jcb,3585592733479888
288,277,jcb,3585875968925620
289,202,visa-electron,4508517915794277
290,797,jcb,3544336925411402
291,665,visa,4041591095105574
292,426,jcb,3546979833722390
293,151,bankcard,5602232682542857
294,661,jcb,3567639184422800
295,946,diners-club-enroute,201823039626678
296,682,jcb,3585356900503619
297,354,diners-club-enroute,201607156785957
298,473,jcb,3555372305868479
299,362,diners-club-carte-blanche,30468208353659
300,438,jcb,3541648618173625
301,667,laser,670963331105429652
302,517,switch,5641827852802433434
303,478,china-unionpay,56022341548082910
304,304,diners-club-enroute,201684484541659
305,81,visa-electron,4026412670553865
306,18,mastercard,5168319357135897
307,328,mastercard,5196437247302943
308,662,laser,6706910436459321551
309,585,mastercard,5444522895197636
310,307,bankcard,5610119483402979
311,365,americanexpress,373103033339731
312,286,diners-club-carte-blanche,30497585820725
313,857,instapayment,6370799385933367
314,236,jcb,3532037797929265
315,572,jcb,3582670620986612
316,902,switch,490396394953954635
317,719,diners-club-carte-blanche,30163728546714
318,371,jcb,3580304997088610
319,354,jcb,3547981789123317
320,443,jcb,3540596107749655
321,276,jcb,3586115092437930
322,529,americanexpress,372301907887493
323,272,mastercard,5100137964690828
324,863,china-unionpay,561031151048459197
325,221,diners-club-carte-blanche,30311229689315
326,672,diners-club-carte-blanche,30552619445822
327,342,visa-electron,4844840724153110
328,766,diners-club-carte-blanche,30126978862008
329,980,visa-electron,4917533021230853
330,504,maestro,676142901995430092
331,256,jcb,3558038499059905
332,609,mastercard,5385666650281878
333,311,visa,4041597642102162
334,167,jcb,3554007196105471
335,708,jcb,3577882416415758
336,872,jcb,3568313546261244
337,517,china-unionpay,560223257282332774
338,595,jcb,3534737670850151
339,557,jcb,3537178535624373
340,151,jcb,3589401643025649
341,968,jcb,3529568179973310
342,988,americanexpress,374283711296871
343,545,mastercard,5176976321168328
344,483,maestro,6759770668837602116
345,594,laser,6304565351957166758
346,713,jcb,3580352239569681
347,978,americanexpress,374283150611499
348,72,jcb,3587420662154454
349,392,jcb,3557151290906447
350,784,china-unionpay,5602215095577230682
351,90,bankcard,5602242804027711
352,482,visa-electron,4844342520042274
353,761,maestro,5893659466521673681
354,466,instapayment,6390064643113195
355,204,switch,4903168598958746457
356,611,visa,4454157624191137
357,836,jcb,3560679208527413
358,619,laser,677181991608231524
359,726,jcb,3549422356632966
360,683,jcb,3530539298465964
361,813,maestro,6759398041062544209
362,876,jcb,3546479569364772
363,316,jcb,3536302084942116
364,612,jcb,3549266540664694
365,8,diners-club-enroute,201998623730258
366,701,jcb,3535647190479523
367,883,china-unionpay,5602249789535588575
368,512,jcb,3564719655525175
369,711,china-unionpay,5602237651065939
370,809,visa,4070490779104
371,170,mastercard,5010126205929771
372,80,visa,4371171916308
373,105,laser,6709197139259894
374,527,jcb,3548668227023428
375,390,jcb,3532902448338986
376,91,visa-electron,4917543999255758
377,529,visa,4017957865984185
378,728,jcb,3583339496012908
379,305,diners-club-us-ca,5400648897851508
380,44,jcb,3585591759511079
381,84,jcb,3535246145115173
382,349,diners-club-enroute,201418665189115
383,24,china-unionpay,5610183733655802
384,95,china-unionpay,5602210548987696087
385,859,americanexpress,374288795013464
386,923,jcb,3553999826014845
387,759,jcb,3561983684374202
388,234,jcb,3536675230397578
389,346,visa,4017953566106
390,543,maestro,06046138521354366
391,513,jcb,3582290187976664
392,219,diners-club-enroute,201794417455917
393,687,visa-electron,4175003882583466
394,826,diners-club-carte-blanche,30041152512198
395,903,mastercard,5307942425819895
396,869,visa-electron,4175004565913228
397,766,diners-club-enroute,201415133572542
398,196,maestro,6762200044392059
399,542,switch,4911311685524176
400,778,china-unionpay,56022421554550172
401,613,jcb,3549583570498904
402,586,maestro,67610394604280782
403,590,visa,4017951553503704
404,486,americanexpress,337941379913576
405,273,switch,4905374144659159040
406,729,maestro,5038191912573575
407,120,jcb,3536079686987729
408,723,visa,4041597344571
409,218,jcb,3535674400120705
410,332,diners-club-international,36531162877171
411,418,jcb,3554969476694518
412,14,maestro,6763620488193938713
413,918,jcb,3544406330122116
414,532,diners-club-carte-blanche,30277478397449
415,688,jcb,3584030688201826
416,41,mastercard,5100148922153908
417,779,visa-electron,4844065957065555
418,348,jcb,3564458626102620
419,410,jcb,3588450527159207
420,802,mastercard,5100178112817566
421,515,mastercard,5100173554548795
422,49,china-unionpay,561099422469069974
423,536,visa-electron,4844731570064792
424,284,bankcard,5602257231836708
425,650,jcb,3573378130278485
426,835,jcb,3534150709532560
427,922,maestro,502049529958634673
428,237,mastercard,5100139336632298
429,542,americanexpress,372301592378550
430,148,jcb,3550608418906044
431,892,americanexpress,370843257643986
432,888,mastercard,5518508282627120
433,556,mastercard,5100170120077796
434,167,jcb,3535228266125868
435,677,jcb,3533920077318979
436,981,jcb,3533027266258253
437,191,maestro,5893100342102586
438,981,jcb,3554096143907501
439,96,maestro,6763866669686233984
440,276,americanexpress,378693564058341
441,864,jcb,3535374685387869
442,259,jcb,3588712312919933
443,486,jcb,3550937401405445
444,321,jcb,3559177795635874
445,976,laser,6304121704876282402
446,433,jcb,3581470199946225
447,515,bankcard,5602248414461349
448,193,maestro,58938153385228566
449,573,bankcard,5610625871130568
450,668,americanexpress,377839624630899
451,311,jcb,3576961057904287
452,51,jcb,3579369247003241
453,256,laser,6304480043908500506
454,573,china-unionpay,5602244413898706
455,385,visa-electron,4405383734662599
456,338,solo,676749913506527818
457,131,china-unionpay,5602224395433054469
458,551,visa-electron,4913097394231926
459,629,jcb,3570878157456966
460,920,americanexpress,372301298400906
461,710,jcb,3547050287686421
462,1,jcb,3582574459780676
463,684,jcb,3569133826125847
464,171,diners-club-enroute,201486317332953
465,317,jcb,3550029321679380
466,436,jcb,3580764360694643
467,657,jcb,3585862461316580
468,733,mastercard,5108757795384283
469,755,mastercard,5108752496533148
470,194,diners-club-enroute,201891080894974
471,643,jcb,3565200969305579
472,690,diners-club-enroute,201406159965348
473,898,maestro,6759756056271002738
474,882,jcb,3576509929692570
475,406,jcb,3529605659707535
476,738,diners-club-enroute,201898950551634
477,431,switch,6759075976634016
478,395,jcb,3535763376718723
479,432,china-unionpay,5602233343321392
480,967,jcb,3565311137547248
481,106,visa-electron,4405565376803958
482,196,americanexpress,374288141005339
483,466,jcb,3574750922019203
484,511,maestro,675922397131200010
485,525,americanexpress,371372223738141
486,564,diners-club-enroute,201576865744607
487,570,diners-club-us-ca,5469675973759063
488,896,visa,4293852727780
489,361,jcb,3529715801767566
490,530,jcb,3553519479948527
491,959,mastercard,5002354620471050
492,421,jcb,3566715069558875
493,841,jcb,3580155791255064
494,746,jcb,3581260596353376
495,721,jcb,3571817358506541
496,686,mastercard,5007664297589025
497,718,diners-club-carte-blanche,30023348476116
498,628,diners-club-carte-blanche,30323759809809
499,663,jcb,3581040950076841
500,384,jcb,3534550805387217
501,374,switch,6331100392589292
502,427,jcb,3588243375695525
503,508,bankcard,5602256347707266
504,407,jcb,3581969619503771
505,178,jcb,3539695583236436
506,391,jcb,3583712963432140
507,374,visa-electron,4405289203215712
508,219,americanexpress,374288840245079
509,112,jcb,3572597704131488
510,742,laser,67060462762170189
511,287,solo,6334300638021065744
512,934,jcb,3546666515532839
513,456,mastercard,5048371632913123
514,315,jcb,3552879253697737
515,200,jcb,3554157536343181
516,607,jcb,3547537470019030
517,257,jcb,3560745844206124
518,216,maestro,50203178007471935
519,602,jcb,3586684917206184
520,410,mastercard,5007661812249200
521,802,jcb,3577886272722942
522,199,jcb,3532848899599040
523,696,jcb,3541806254590268
524,379,switch,6331100481301758953
525,434,visa,4041599594538
526,130,diners-club-international,36282931390654
527,9,diners-club-enroute,201488903764334
528,438,mastercard,5002359220382797
529,247,visa-electron,4844422425312772
530,499,americanexpress,337941264857342
531,80,visa-electron,4913012002731100
532,176,maestro,5020928987265254805
533,31,diners-club-carte-blanche,30129724434445
534,523,jcb,3549371848188592
535,42,mastercard,5100143916130004
536,579,diners-club-carte-blanche,30118711563415
537,637,jcb,3535177653874879
538,202,jcb,3553705643708885
539,460,jcb,3570267755408712
540,149,maestro,6763914623360696
541,105,jcb,3583154323318984
542,79,mastercard,5108751613793544
543,492,visa,4041598206448637
544,369,china-unionpay,560224377193940322
545,797,americanexpress,374622706151494
546,358,jcb,3535685026847851
547,991,maestro,5020886721315452
548,123,mastercard,5422722769864917
549,21,maestro,50200467243071986
550,463,jcb,3542857090693245
551,310,mastercard,5048374953772292
552,828,jcb,3529202542678550
553,346,mastercard,5317694086786735
554,247,jcb,3583399117580105
555,116,switch,4936452473954901
556,714,diners-club-carte-blanche,30467146069468
557,912,jcb,3587044740441657
558,274,americanexpress,374283650032154
559,227,jcb,3548680708065042
560,375,mastercard,5100135498981903
561,57,jcb,3585339479950346
562,992,americanexpress,376465822991056
563,307,jcb,3538872885764800
564,842,visa,4041372538793
565,603,jcb,3588085400760588
566,886,jcb,3549257880440829
567,631,jcb,3583163880427716
568,723,bankcard,5602255305756828
569,243,jcb,3564880563070975
570,954,jcb,3582204817945999
571,456,visa-electron,4508920206304808
572,936,laser,6706560269355674713
573,602,jcb,3564309935392818
574,355,mastercard,5496359996036570
575,607,americanexpress,374288574334537
576,626,jcb,3539440526702313
577,784,visa,4090651501410
578,269,jcb,3543866665815090
579,388,maestro,5018307084872967
580,345,diners-club-enroute,201741216566808
581,175,jcb,3584741387755801
582,915,jcb,3532787006117298
583,990,instapayment,6393135563350178
584,717,jcb,3574127037340669
585,617,mastercard,5048379226427277
586,705,switch,6331109636681131557
587,995,jcb,3531091887366038
588,774,bankcard,5602244786675624
589,893,jcb,3537604002328057
590,150,switch,490562674676336386
591,554,jcb,3533855396977842
592,490,switch,675972359509587674
593,245,jcb,3559180343526330
594,240,jcb,3574662131489186
595,26,jcb,3539578097209810
596,956,jcb,3584441498743313
597,98,jcb,3529377653474542
598,25,jcb,3561799856127644
599,413,americanexpress,349729856045798
600,341,switch,493677633608797863
601,809,jcb,3575943146746227
602,232,jcb,3541169506571861
603,720,americanexpress,337941183156487
604,710,jcb,3532926319541790
605,231,jcb,3580681417350351
606,606,jcb,3540952257319460
607,142,instapayment,6386870464810842
608,368,maestro,63040815247590244
609,446,switch,633110421605258741
610,644,jcb,3575170139443212
611,256,switch,490371716195108951
612,179,mastercard,5412417447052538
613,497,switch,6331104105144973
614,282,jcb,3564794817545726
615,684,jcb,3534771577239663
616,973,jcb,3531822686398446
617,453,diners-club-enroute,201879293006510
618,251,jcb,3555694798995851
619,839,solo,6334008225292156769
620,766,diners-club-enroute,201990333155470
621,922,jcb,3555116687686698
622,413,jcb,3559869985730354
623,847,diners-club-carte-blanche,30440413857931
624,822,china-unionpay,5610886096064811670
625,250,china-unionpay,560223920386605946
626,200,jcb,3534034852836368
627,11,maestro,589368769601332115
628,598,maestro,675974783072340245
629,238,switch,493649722383919787
630,520,mastercard,5264129957349837
631,374,jcb,3559938095302329
632,416,jcb,3532379525235015
633,967,switch,4905512142121237
634,105,instapayment,6383882979563900
635,988,diners-club-carte-blanche,30122631138126
636,306,jcb,3551103515900271
637,88,visa-electron,4026254264801304
638,904,visa-electron,4508119557292064
639,422,maestro,5018109235449473064
640,493,jcb,3580350113257662
641,55,diners-club-carte-blanche,30285940720676
642,492,bankcard,5602219571587028
643,425,mastercard,5100141510094378
644,142,jcb,3577211186788196
645,737,china-unionpay,5610825558431483
646,802,jcb,3582426037995799
647,349,maestro,6304711657661817
648,989,jcb,3565722564713154
649,66,maestro,676346845299174175
650,785,jcb,3530265798639581
651,376,visa-electron,4405785670584688
652,497,diners-club-carte-blanche,30425599962258
653,525,diners-club-enroute,201791550764659
654,40,jcb,3555568531531118
655,212,china-unionpay,560224706533817529
656,397,bankcard,5602212612004277
657,742,maestro,6304489132038238
658,558,jcb,3541177211324005
659,896,visa-electron,4405831309229681
660,413,jcb,3553016475859683
661,888,diners-club-enroute,201620177421486
662,105,mastercard,5340550529072169
663,745,mastercard,5010127898262017
664,6,americanexpress,374283191668086
665,923,diners-club-enroute,201969326643619
666,556,bankcard,5610067733673305
667,382,mastercard,5002352585125737
668,572,china-unionpay,56022248757737607
669,294,switch,493621448561440188
670,786,china-unionpay,560221428462768515
671,842,maestro,501850461947099588
672,998,jcb,3568532420937054
673,132,diners-club-us-ca,5426809213882615
674,606,americanexpress,345354196803386
675,944,diners-club-enroute,201586412086139
676,349,diners-club-enroute,201856772271666
677,421,switch,490563773422517353
678,70,maestro,5038609014293525250
679,210,laser,6304078725472970549
680,982,jcb,3563239424367750
681,799,jcb,3570830067150346
682,520,jcb,3535494249191720
683,395,visa,4997768700265
684,603,jcb,3569640019263631
685,741,jcb,3576828797136704
686,860,jcb,3557655582732618
687,88,jcb,3539904688544292
688,195,jcb,3550851765873686
689,368,jcb,3529564965705305
690,118,jcb,3538266761922667
691,726,jcb,3585503189766280
692,443,switch,4936790797884597
693,57,diners-club-enroute,201536580866879
694,237,switch,490354442727629882
695,179,diners-club-enroute,201755527045302
696,445,jcb,3551578386650867
697,806,americanexpress,372301976036980
698,89,visa-electron,4844844097299757
699,22,visa,4041594775132
700,745,diners-club-carte-blanche,30052303329200
701,390,jcb,3587756604084824
702,474,jcb,3566552134984897
703,874,jcb,3546479594417231
704,397,visa,4041374324739
705,368,switch,4903488799814071
706,347,americanexpress,340658310843226
707,132,jcb,3554499579955905
708,299,jcb,3533413135428444
709,331,jcb,3581131097831477
710,839,laser,6771150174836335
711,854,switch,4905184265130803722
712,37,switch,4905472438427715542
713,908,jcb,3569543368312084
714,837,maestro,6304654773549430446
715,841,jcb,3541401127323095
716,100,jcb,3577379366031537
717,793,jcb,3575128985217213
718,335,jcb,3536836300776139
719,148,jcb,3556376934603818
720,14,instapayment,6372995198210203
721,465,mastercard,5100143175398409
722,699,jcb,3560810240962389
723,758,jcb,3562980837346359
724,696,visa-electron,4175008047188846
725,198,bankcard,5602221450683373
726,243,jcb,3528892619456491
727,995,jcb,3572534971355508
728,631,visa-electron,4508372400151751
729,127,jcb,3565570292168534
730,766,jcb,3538646161326249
731,577,diners-club-carte-blanche,30203467980904
732,101,mastercard,5048376993824843
733,614,maestro,58932581393185145
734,990,jcb,3551859738319603
735,371,laser,6709695175151602
736,954,americanexpress,370992588449405
737,218,jcb,3570890973301946
738,934,china-unionpay,560221911905602243
739,208,jcb,3557695353425505
740,679,diners-club-enroute,201674365195790
741,560,switch,4911771207355503220
742,759,mastercard,5048375122673782
743,548,mastercard,5002350724783101
744,415,diners-club-carte-blanche,30555000954583
745,605,diners-club-enroute,201940914375658
746,400,maestro,58937075533357057
747,502,mastercard,5406635153823374
748,878,jcb,3544504156135046
749,992,diners-club-enroute,201699255801264
750,872,jcb,3585958172312106
751,842,jcb,3574485031406468
752,393,mastercard,5560263666490938
753,207,diners-club-carte-blanche,30025883851835
754,337,jcb,3532439711940131
755,609,bankcard,5610209216510675
756,122,jcb,3528695984114953
757,693,diners-club-us-ca,5413580896314144
758,252,jcb,3538349544874692
759,524,jcb,3552792152041438
760,658,bankcard,5602213657544540
761,203,china-unionpay,5602213232725230304
762,388,bankcard,5610446150424782
763,809,visa,4731456024369
764,96,instapayment,6385843641668400
765,680,jcb,3535350401120172
766,359,mastercard,5048371118959269
767,995,jcb,3532335640579158
768,459,visa-electron,4026636736913743
769,906,americanexpress,374288870502514
770,148,jcb,3532824871795781
771,643,jcb,3556982189724298
772,97,jcb,3565602733235497
773,706,maestro,5893823210555193
774,9,jcb,3558625130061330
775,900,jcb,3587802626049070
776,108,china-unionpay,5602228391998060278
777,563,visa-electron,4508320529677156
778,446,jcb,3532680528043417
779,134,jcb,3584463768833574
780,157,diners-club-carte-blanche,30176335142503
781,37,switch,4905361221065349
782,263,jcb,3552047700377291
783,36,diners-club-carte-blanche,30063135560904
784,483,mastercard,5007668456010350
785,877,jcb,3557245381892001
786,79,jcb,3546415323928940
787,837,jcb,3529445865358652
788,868,mastercard,5506579257846684
789,377,instapayment,6374943241981246
790,555,maestro,6761872700042208117
791,823,jcb,3567002451974302
792,939,jcb,3585403131250378
793,37,jcb,3538399954736576
794,111,americanexpress,379941906215379
795,31,bankcard,5602223795988087
796,612,switch,675934637260922363
797,873,maestro,5020776037809985
798,881,americanexpress,374288117314251
799,543,mastercard,5002359131218437
800,13,mastercard,5002354553261122
801,338,jcb,3560626009847599
802,730,instapayment,6372778311639262
803,440,bankcard,5602221275723784
804,871,jcb,3556684607725267
805,169,jcb,3546269199737236
806,795,diners-club-carte-blanche,30483768808299
807,287,diners-club-us-ca,5553400816894655
808,818,diners-club-international,36633818207819
809,187,mastercard,5007669233626609
810,499,americanexpress,372301679585572
811,943,diners-club-enroute,201672391828129
812,182,jcb,3531931770068094
813,733,jcb,3557117338669750
814,318,switch,5641823188521227870
815,834,americanexpress,372301903588210
816,892,jcb,3558438417660059
817,668,bankcard,5602245550582854
818,346,jcb,3559043764558986
819,617,jcb,3566972463973115
820,505,jcb,3533172059765302
821,329,jcb,3565034005026356
822,709,diners-club-carte-blanche,30586874063839
823,895,diners-club-carte-blanche,30448737543590
824,466,jcb,3577850385002337
825,969,visa-electron,4026983618013105
826,53,visa,4631717852849858
827,25,diners-club-enroute,201681790848190
828,704,diners-club-enroute,201860114317187
829,190,mastercard,5010123889751050
830,502,china-unionpay,560222625111941331
831,175,jcb,3561039029797894
832,559,china-unionpay,560223865028995801
833,149,jcb,3564724965817403
834,481,bankcard,5602227256213992
835,642,china-unionpay,560221204347180972
836,270,mastercard,5002355305249497
837,260,jcb,3562023744748688
838,439,jcb,3582591231589696
839,238,americanexpress,374288721184850
840,812,bankcard,5602247060991138
841,498,americanexpress,372301005722469
842,637,jcb,3528979097091799
843,691,maestro,6761487283398175
844,32,diners-club-us-ca,5580193913515037
845,587,jcb,3538998717874630
846,352,diners-club-international,36545017552011
847,327,solo,6334344481271589
848,333,bankcard,5602238734000802
849,979,switch,4905940018829999870
850,108,jcb,3547795077434941
851,276,jcb,3545198030493884
852,433,switch,493676104305035008
853,437,jcb,3537646815854274
854,624,jcb,3548076272353775
855,17,jcb,3566878769662221
856,637,jcb,3573294549031771
857,99,jcb,3574468215716522
858,341,china-unionpay,5602242405518658544
859,293,mastercard,5108754240675324
860,807,visa-electron,4175007950227203
861,161,instapayment,6372083534658706
862,545,maestro,58932474341778148
863,333,jcb,3545500922928838
864,325,solo,633413570063169487
865,315,maestro,50201172843554899
866,358,jcb,3579448403972439
867,123,jcb,3545429602177062
868,808,jcb,3531977626495916
869,924,mastercard,5250834269940555
870,227,diners-club-enroute,201481771959995
871,8,jcb,3583856996284869
872,557,bankcard,5602259473369208
873,453,diners-club-us-ca,5531706954363916
874,416,maestro,6761812065365920
875,695,jcb,3556904064015402
876,229,visa-electron,4175002001989315
877,406,mastercard,5568409307322640
878,673,jcb,3558670034308593
879,466,mastercard,5158068429865641
